OBJECTID,CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,NOM_LOC,pop_t,pop_m,pop_h,pob_nat,pob_for,pob_dis,pop_ssal,viv_t,viv_hab,H3,H4,TT,H5,H1,H2,inun_pluv,licuefacc,nivel-mar,tsunami,fallas_fra,inun_fluvi
"2733","1802000530925042","18","020","0053","0925","042",Urbana,Típica,Mezcales,"64","35","29","10","54","0","10","28","20",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2734","1802000530925039","18","020","0053","0925","039",Urbana,Típica,Mezcales,"19","11","8","3","15","0","5","20","5",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2735","1802000530925038","18","020","0053","0925","038",Urbana,Típica,Mezcales,"19","7","12","0","16","0","4","17","7",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2736","1802000530925037","18","020","0053","0925","037",Urbana,Típica,Mezcales,"53","24","29","25","24","0","0","24","18",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2737","1802000530925036","18","020","0053","0925","036",Urbana,Típica,Mezcales,"49","22","27","7","41","0","0","25","16",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2738","1802000530925020","18","020","0053","0925","020",Urbana,Típica,Mezcales,"21","11","10","4","16","0","0","11","7",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2739","1802000530925016","18","020","0053","0925","016",Urbana,Típica,Mezcales,"84","45","39","10","71","0","11","32","23",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2740","1802000530925007","18","020","0053","0925","007",Urbana,Típica,Mezcales,"57","35","22","13","43","0","5","25","15",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2741","1802000530925006","18","020","0053","0925","006",Urbana,Típica,Mezcales,"43","23","20","16","27","0","8","20","14",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2742","1802000530925005","18","020","0053","0925","005",Urbana,Típica,Mezcales,"0","0","0","0","0","0","0","0","0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2743","1802000530925004","18","020","0053","0925","004",Urbana,Típica,Mezcales,"49","23","26","5","44","0","5","17","13",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2744","1802000530925002","18","020","0053","0925","002",Urbana,Típica,Mezcales,"100","51","49","13","86","0","21","43","32",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2745","1802000530906006","18","020","0053","0906","006",Urbana,Típica,Mezcales,"4","0","0","0","0","0","0","14","2",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,44.866016230142236,0.000000000000000,0.000000000000000
"2746","1802000530906005","18","020","0053","0906","005",Urbana,Típica,Mezcales,"32","12","20","7","25","0","0","25","11",0.000000000000000,0.000000000000000,0.000000000000000,0.038179988867279,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,73.566624039023750,0.000000000000000,0.000000000000000
"2747","1802000530906004","18","020","0053","0906","004",Urbana,Típica,Mezcales,"82","42","40","12","61","0","12","77","32",0.000000000000000,0.000000000000000,0.000000000000000,14.979391644575630,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,72.600366867898643,0.000000000000000,0.000000000000000
"2748","1802000530874013","18","020","0053","0874","013",Urbana,Típica,Mezcales,"63","40","23","10","52","0","3","30","18",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,99.999999999999986,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"2749","1802000530874012","18","020","0053","0874","012",Urbana,Típica,Mezcales,"42","20","22","5","36","0","14","26","13",0.000000000000000,0.000000000000000,0.000000000000000,7.700856664275293,0.000000000000000,0.000000000000000,0.000000000000000,99.999999999999986,0.000000000000000,99.722527445390526,0.000000000000000,0.000000000000000
"2750","1802000530874011","18","020","0053","0874","011",Urbana,Típica,Mezcales,"83","41","42","20","55","6","26","38","27",0.000000000000000,0.000000000000000,0.000000000000000,6.377539096609057,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,99.816859062990403,0.000000000000000,0.000000000000000
"2751",180200053086A030,"18","020","0053",086A,"030",Urbana,Típica,Mezcales,"38","19","19","5","33","0","6","27","14",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2752",180200053086A029,"18","020","0053",086A,"029",Urbana,Típica,Mezcales,"129","69","60","25","104","0","35","51","35",0.000000000000000,0.000000000000000,0.000000000000000,4.884770928697480,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2753",180200053086A028,"18","020","0053",086A,"028",Urbana,Típica,Mezcales,"122","58","64","24","97","0","37","44","35",0.000000000000000,0.000000000000000,0.000000000000000,8.036284790790287,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2754","1802000530925021","18","020","0053","0925","021",Urbana,Típica,Mezcales,"0","0","0","0","0","0","0","0","0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2755",180200053086A008,"18","020","0053",086A,"008",Urbana,Típica,Mezcales,"50","26","24","10","40","0","5","19","15",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2756",180200053086A007,"18","020","0053",086A,"007",Urbana,Típica,Mezcales,"37","14","23","12","19","0","19","12","11",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2757",180200053086A006,"18","020","0053",086A,"006",Urbana,Parque o Jardín,Mezcales,"0","0","0","0","0","0","0","0","0",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
"2758",180200053086A005,"18","020","0053",086A,"005",Urbana,Típica,Mezcales,"53","29","24","23","30","0","15","26","16",0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000
